Year,Country,Region,Scenario,CO2_Emissions_mt,Temp_Anomaly_C,Renewable_Energy_%,Extreme_Events,Climate_Policy_Index,GDP_Billion,Population_Million,Sea_Level_mm,Methane_ppb
1940,USA,North America,Historical,215.03,-0.223,4.74,1,10.0,1477.39,181.6,2.71,1104.84
1940,USA,North America,Current (2020-2026),203.6,-0.391,2.0,1,10.0,1477.39,181.6,7.33,1095.48
1940,USA,North America,BAU,240.88,-0.193,2.0,1,10.0,1477.39,181.6,1.88,1087.99
1940,USA,North America,Green,143.95,-0.229,5.56,1,10.0,1477.39,181.6,4.11,1075.58
1941,USA,North America,Historical,192.04,-0.159,2.0,1,10.0,1480.1,182.08,3.36,1102.69
1941,USA,North America,Current (2020-2026),210.33,-0.209,2.0,1,10.0,1481.64,182.74,4.25,1097.55
1941,USA,North America,BAU,274.9,-0.244,3.37,2,10.0,1486.29,182.89,1.45,1096.42
1941,USA,North America,Green,138.41,-0.205,2.0,1,10.0,1486.49,182.6,3.56,1090.6
1942,USA,North America,Historical,247.4,-0.124,2.0,3,10.0,1481.79,182.21,9.11,1111.74
1942,USA,North America,Current (2020-2026),236.92,-0.188,2.0,1,10.0,1487.95,184.68,1.21,1100.46
1942,USA,North America,BAU,274.12,-0.06,2.0,1,10.0,1494.31,185.21,10.84,1097.96
1942,USA,North America,Green,151.15,-0.205,2.0,1,10.0,1481.5,183.75,-3.58,1098.59
1943,USA,North America,Historical,215.18,-0.174,2.0,1,10.0,1492.12,187.44,8.37,1076.62
1943,USA,North America,Current (2020-2026),239.48,-0.14,8.39,1,10.0,1486.87,184.69,13.59,1130.79
1943,USA,North America,BAU,259.02,-0.049,5.05,1,10.0,1485.56,186.67,19.95,1098.19
1943,USA,North America,Green,160.55,-0.215,2.0,1,10.0,1498.87,182.9,0.65,1141.5
1944,USA,North America,Historical,225.28,-0.198,3.84,1,10.0,1502.34,183.84,16.54,1125.2
1944,USA,North America,Current (2020-2026),223.06,-0.038,2.0,2,10.0,1513.77,187.93,7.1,1125.65
1944,USA,North America,BAU,265.42,-0.075,6.72,2,10.0,1508.18,183.81,15.28,1147.17
1944,USA,North America,Green,175.53,-0.226,3.06,2,10.0,1488.39,184.8,2.55,1097.68
1945,USA,North America,Historical,238.12,-0.108,2.58,2,10.0,1510.46,186.78,19.77,1137.51
1945,USA,North America,Current (2020-2026),228.59,-0.181,3.11,1,10.0,1488.01,190.92,15.49,1124.79
1945,USA,North America,BAU,256.88,-0.165,2.0,3,10.0,1524.83,188.72,8.77,1112.32
1945,USA,North America,Green,163.97,-0.115,2.0,1,10.0,1515.27,188.78,1.86,1098.74
1946,USA,North America,Historical,243.6,-0.028,3.65,9,10.0,1523.08,191.28,20.68,1123.69
1946,USA,North America,Current (2020-2026),236.09,0.002,2.0,1,10.0,1511.74,188.39,19.18,1099.25
1946,USA,North America,BAU,299.41,-0.103,2.0,1,10.0,1519.29,183.18,21.4,1136.91
1946,USA,North America,Green,197.28,-0.181,4.63,1,10.0,1527.56,185.29,6.54,1118.71
1947,USA,North America,Historical,251.77,-0.01,2.0,1,10.0,1522.14,191.81,14.23,1109.78
1947,USA,North America,Current (2020-2026),282.56,0.039,5.42,1,10.0,1511.32,192.38,20.59,1152.24
1947,USA,North America,BAU,285.65,-0.125,2.0,1,10.0,1513.7,190.5,14.76,1133.2
1947,USA,North America,Green,188.77,-0.089,2.0,3,10.0,1528.28,184.47,13.25,1112.5
1948,USA,North America,Historical,235.9,-0.033,3.14,3,10.0,1522.72,190.7,13.81,1136.96
1948,USA,North America,Current (2020-2026),257.97,0.027,2.0,1,10.0,1547.46,182.76,18.05,1158.99
1948,USA,North America,BAU,279.62,0.028,4.94,3,10.0,1511.44,185.1,27.15,1162.95
1948,USA,North America,Green,168.86,-0.027,3.99,3,10.0,1515.2,196.55,12.91,1149.98
1949,USA,North America,Historical,256.77,0.063,7.07,2,10.0,1523.41,182.69,20.95,1151.48
1949,USA,North America,Current (2020-2026),258.25,-0.024,4.78,1,10.0,1516.5,188.12,29.42,1163.08
1949,USA,North America,BAU,302.91,0.078,2.48,1,10.0,1527.18,197.68,23.61,1137.49
1949,USA,North America,Green,177.39,-0.106,2.4,1,10.0,1501.44,194.49,13.39,1136.14
1950,USA,North America,Historical,226.35,-0.145,2.0,2,10.0,1531.33,199.82,32.38,1149.62
1950,USA,North America,Current (2020-2026),259.55,-0.09,2.46,3,10.0,1557.07,193.69,25.71,1160.53
1950,USA,North America,BAU,290.93,0.109,3.47,3,10.0,1574.93,192.54,26.13,1189.02
1950,USA,North America,Green,205.52,0.036,2.25,3,10.0,1501.02,187.94,28.45,1118.83
1951,USA,North America,Historical,241.36,-0.064,2.0,1,10.0,1585.13,203.32,28.25,1161.84
1951,USA,North America,Current (2020-2026),277.12,0.219,2.0,1,10.0,1579.55,199.9,22.27,1194.38
1951,USA,North America,BAU,293.38,0.182,2.0,6,10.0,1535.89,188.42,39.19,1166.1
1951,USA,North America,Green,168.49,-0.041,6.87,1,10.0,1583.34,195.37,22.81,1116.01
1952,USA,North America,Historical,272.41,-0.113,5.2,1,10.0,1551.32,202.23,30.58,1201.21
1952,USA,North America,Current (2020-2026),262.17,0.228,6.9,4,10.0,1568.98,187.66,36.79,1127.83
1952,USA,North America,BAU,273.3,-0.03,2.55,5,10.0,1539.46,196.99,36.37,1137.93
1952,USA,North America,Green,183.03,-0.038,5.36,1,10.0,1562.19,188.28,22.83,1123.2
1953,USA,North America,Historical,240.25,0.009,4.36,5,10.0,1523.39,183.91,35.02,1154.39
1953,USA,North America,Current (2020-2026),267.33,-0.006,2.0,2,10.0,1555.74,199.96,30.63,1172.53
1953,USA,North America,BAU,304.05,0.101,5.48,5,10.0,1541.92,194.87,36.12,1147.7
1953,USA,North America,Green,203.97,0.119,5.17,3,10.0,1556.6,196.05,22.11,1126.39
1954,USA,North America,Historical,262.08,-0.081,2.63,1,10.0,1518.8,206.69,29.59,1203.74
1954,USA,North America,Current (2020-2026),271.86,0.182,9.09,3,10.0,1571.11,202.83,31.56,1169.69
1954,USA,North America,BAU,290.09,0.048,6.7,8,10.0,1516.79,187.07,44.81,1170.99
1954,USA,North America,Green,172.43,-0.053,3.78,2,10.0,1551.35,209.14,23.31,1130.85
1955,USA,North America,Historical,273.25,0.042,6.75,1,10.0,1575.98,191.08,41.26,1161.75
1955,USA,North America,Current (2020-2026),263.56,0.172,2.0,1,10.0,1521.17,200.51,42.57,1145.52
1955,USA,North America,BAU,296.13,0.153,2.24,4,10.0,1514.99,211.32,43.08,1210.13
1955,USA,North America,Green,195.88,-0.048,3.44,3,10.0,1563.98,194.84,29.14,1148.44
1956,USA,North America,Historical,255.75,0.157,5.86,3,10.0,1527.28,207.38,41.27,1170.25
1956,USA,North America,Current (2020-2026),283.97,0.093,4.06,4,10.0,1555.32,209.87,48.01,1175.84
1956,USA,North America,BAU,302.65,-0.02,2.0,4,10.0,1539.11,210.55,56.38,1212.59
1956,USA,North America,Green,188.9,-0.197,9.59,1,10.0,1527.22,207.34,31.16,1201.41
1957,USA,North America,Historical,271.42,0.158,4.57,2,10.0,1515.95,201.71,38.22,1194.58
1957,USA,North America,Current (2020-2026),296.65,0.19,4.12,3,10.0,1619.82,188.15,48.41,1170.81
1957,USA,North America,BAU,341.57,0.295,6.0,8,10.0,1536.09,212.65,44.78,1166.43
1957,USA,North America,Green,197.21,0.188,7.57,3,10.0,1580.19,203.05,30.3,1174.02
1958,USA,North America,Historical,273.95,0.208,3.93,5,10.0,1574.46,208.59,51.73,1170.21
1958,USA,North America,Current (2020-2026),284.96,0.165,9.27,1,10.0,1521.27,194.87,42.19,1161.4
1958,USA,North America,BAU,325.81,0.314,2.0,2,10.0,1545.73,198.88,62.35,1203.09
1958,USA,North America,Green,148.96,0.025,8.03,2,10.0,1596.99,205.03,30.16,1140.87
1959,USA,North America,Historical,274.37,0.437,6.69,4,10.0,1546.57,190.39,46.78,1194.34
1959,USA,North America,Current (2020-2026),276.46,0.145,6.64,4,10.0,1595.1,199.42,56.11,1158.28
1959,USA,North America,BAU,322.61,0.222,2.0,4,10.0,1519.25,189.14,65.76,1232.71
1959,USA,North America,Green,202.26,0.193,5.26,2,10.0,1614.61,192.1,32.05,1159.0
1960,USA,North America,Historical,283.04,0.271,5.92,7,10.0,1564.29,217.67,53.08,1206.52
1960,USA,North America,Current (2020-2026),304.05,0.095,6.1,4,10.0,1558.9,198.03,44.72,1217.12
1960,USA,North America,BAU,357.97,0.152,2.0,9,10.0,1639.57,188.93,59.52,1219.25
1960,USA,North America,Green,195.18,0.19,9.55,2,10.0,1560.38,204.19,28.26,1184.87
1961,USA,North America,Historical,276.51,0.237,7.41,5,10.0,1522.48,220.18,48.61,1208.92
1961,USA,North America,Current (2020-2026),299.35,0.143,2.0,7,10.0,1554.07,184.14,56.41,1229.9
1961,USA,North America,BAU,350.33,0.471,2.0,3,10.0,1547.32,213.15,63.13,1229.74
1961,USA,North America,Green,186.31,0.018,5.34,1,10.0,1640.19,195.56,32.0,1226.15
1962,USA,North America,Historical,284.93,0.289,5.12,6,10.0,1608.75,208.75,55.61,1232.99
1962,USA,North America,Current (2020-2026),295.74,0.192,12.63,4,10.0,1564.75,218.04,60.91,1234.95
1962,USA,North America,BAU,315.04,0.39,3.98,6,10.0,1553.97,206.46,69.1,1239.6
1962,USA,North America,Green,205.91,0.169,13.25,5,10.0,1565.33,204.26,40.65,1181.15
1963,USA,North America,Historical,265.9,0.287,4.81,7,10.0,1682.0,220.81,60.91,1233.77
1963,USA,North America,Current (2020-2026),300.74,0.231,6.26,5,10.0,1537.55,214.33,66.65,1202.86
1963,USA,North America,BAU,335.46,0.333,10.78,7,10.0,1686.41,210.82,61.57,1239.65
